CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Segment,Value_Tier,Is_At_Risk,Is_Champion,Is_Lost,Monetary_Band
12061,44,9,8906.74,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12062,32,14,33912.35,4,5,5,14,Champions,Champions,0,1,0,£10K+
12064,113,2,305.46,3,2,2,7,Needs Attention,Medium Value,0,0,0,<£500
12065,91,10,10418.27,3,5,5,13,Loyal Customers,Champions,0,0,0,£10K+
12066,2,6,7904.85,5,4,5,14,Champions,Champions,0,1,0,£5K-10K
12067,3,14,41161.24,5,5,5,15,Champions,Champions,0,1,0,£10K+
12068,27,4,3043.4,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12070,98,1,179.3,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12071,308,3,601.41,2,3,2,7,Price Sensitive,Medium Value,0,0,0,£500-2K
12076,23,9,21646.48,5,5,5,15,Champions,Champions,0,1,0,£10K+
12078,449,2,1026.36,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12080,3,3,1918.51,5,3,4,12,Loyal Customers,Champions,0,0,0,£500-2K
12083,426,2,1430.8,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12087,32,6,5675.71,4,4,4,12,Champions,Champions,0,1,0,£5K-10K
12088,701,1,95.49,1,1,1,3,Lost,Low Value,0,0,1,<£500
12089,14,2,902.29,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12090,12,6,18555.6,5,4,5,14,Champions,Champions,0,1,0,£10K+
12091,173,3,2382.95,3,3,4,10,Loyal Customers,High Value,0,0,0,£2K-5K
12092,349,1,957.33,2,1,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12094,22,1,1009.43,5,1,3,9,New Customers,High Value,0,0,0,£500-2K
12096,7,23,58371.53,5,5,5,15,Champions,Champions,0,1,0,£10K+
12097,36,2,849.47,4,2,3,9,New Customers,High Value,0,0,0,£500-2K
12098,85,2,1332.47,4,2,3,9,New Customers,High Value,0,0,0,£500-2K
12099,26,4,1731.86,5,4,3,12,Potential Loyal,Champions,0,0,0,£500-2K
12100,132,5,4558.98,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12101,275,4,3514.77,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12103,1,4,1012.44,5,4,3,12,Potential Loyal,Champions,0,0,0,£500-2K
12104,63,4,2541.66,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12105,136,4,2436.95,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12108,366,1,142.71,2,1,1,4,Lost,Low Value,0,0,1,<£500
12109,93,1,118.3,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12110,5,5,4295.39,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12112,224,6,6206.44,2,4,5,11,At Risk,High Value,1,0,0,£5K-10K
12113,147,4,1176.98,3,4,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12114,633,1,496.9,1,1,2,4,Lost,Low Value,0,0,1,<£500
12115,127,3,1441.66,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12116,10,5,7582.77,5,4,5,14,Champions,Champions,0,1,0,£5K-10K
12117,180,1,127.89,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12118,50,10,11609.03,4,5,5,14,Champions,Champions,0,1,0,£10K+
12120,17,4,3553.64,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12121,28,8,7583.98,5,5,5,15,Champions,Champions,0,1,0,£5K-10K
12123,48,4,3239.92,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12125,13,1,259.77,5,1,1,7,New Customers,Medium Value,0,0,0,<£500
12126,51,5,4679.65,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12128,452,2,1611.53,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12130,123,4,5488.08,3,4,4,11,Loyal Customers,High Value,0,0,0,£5K-10K
12132,2,12,40983.48,5,5,5,15,Champions,Champions,0,1,0,£10K+
12134,91,1,272.22,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12139,59,4,3403.85,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12140,7,5,2815.85,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12141,239,1,552.12,2,1,2,5,Lost,Low Value,0,0,1,£500-2K
12142,324,3,1509.5,2,3,3,8,At Risk,Medium Value,1,0,0,£500-2K
12143,441,1,775.6,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12144,624,1,114.12,1,1,1,3,Lost,Low Value,0,0,1,<£500
12145,76,9,8361.65,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12147,386,4,4175.49,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12148,34,3,1192.52,4,3,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12151,65,1,65.38,4,1,1,6,New Customers,Medium Value,0,0,0,<£500
12153,61,5,4768.86,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12155,220,8,8358.97,2,5,5,12,At Risk,Champions,1,0,0,£5K-10K
12156,63,3,2209.81,4,3,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12157,108,2,1184.19,3,2,3,8,Potential Loyal,Medium Value,0,0,0,£500-2K
12158,41,13,34194.62,4,5,5,14,Champions,Champions,0,1,0,£10K+
12159,2,3,2188.28,5,3,4,12,Loyal Customers,Champions,0,0,0,£2K-5K
12162,24,3,1238.47,5,3,3,11,Potential Loyal,High Value,0,0,0,£500-2K
12163,21,27,73487.67,5,5,5,15,Champions,Champions,0,1,0,£10K+
12164,25,2,1483.69,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12165,11,3,1127.47,5,3,3,11,Potential Loyal,High Value,0,0,0,£500-2K
12167,6,11,10285.02,5,5,5,15,Champions,Champions,0,1,0,£10K+
12169,358,4,3436.9,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12171,193,3,1029.97,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12172,447,1,35.51,1,1,1,3,Lost,Low Value,0,0,1,<£500
12173,405,2,728.3,1,2,2,5,Lost,Low Value,0,0,1,£500-2K
12175,9,3,3352.83,5,3,4,12,Loyal Customers,Champions,0,0,0,£2K-5K
12176,87,12,13985.03,4,5,5,14,Champions,Champions,0,1,0,£10K+
12180,341,1,226.86,2,1,1,4,Lost,Low Value,0,0,1,<£500
12182,14,6,7292.84,5,4,5,14,Champions,Champions,0,1,0,£5K-10K
12183,14,2,450.73,5,2,2,9,New Customers,High Value,0,0,0,<£500
12184,519,1,752.53,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12185,382,1,140.28,2,1,1,4,Lost,Low Value,0,0,1,<£500
12186,668,1,183.13,1,1,1,3,Lost,Low Value,0,0,1,<£500
12187,52,7,9906.27,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12190,82,3,1159.91,4,3,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12191,273,4,4283.95,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12192,7,6,6275.51,5,4,5,14,Champions,Champions,0,1,0,£5K-10K
12193,96,2,1026.44,3,2,3,8,Potential Loyal,Medium Value,0,0,0,£500-2K
12194,188,1,523.03,3,1,2,6,Needs Attention,Medium Value,0,0,0,£500-2K
12197,582,1,707.06,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12198,49,2,1024.12,4,2,3,9,New Customers,High Value,0,0,0,£500-2K
12200,582,2,598.46,1,2,2,5,Lost,Low Value,0,0,1,£500-2K
12201,375,1,390.06,2,1,2,5,Lost,Low Value,0,0,1,<£500
12203,226,3,2814.41,2,3,4,9,At Risk,High Value,1,0,0,£2K-5K
12204,4,7,5658.2,5,5,4,14,Champions,Champions,0,1,0,£5K-10K
12206,43,7,2492.02,4,5,4,13,Champions,Champions,0,1,0,£2K-5K
12207,223,1,142.49,2,1,1,4,Lost,Low Value,0,0,1,<£500
12208,20,18,47868.15,5,5,5,15,Champions,Champions,0,1,0,£10K+
12210,441,1,336.21,1,1,2,4,Lost,Low Value,0,0,1,<£500
12211,10,6,5961.59,5,4,5,14,Champions,Champions,0,1,0,£5K-10K
12213,76,3,1076.23,4,3,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12214,29,1,450.07,5,1,2,8,New Customers,Medium Value,0,0,0,<£500
12215,89,6,6843.59,3,4,5,12,Loyal Customers,Champions,0,0,0,£5K-10K
12216,11,7,5074.33,5,5,4,14,Champions,Champions,0,1,0,£5K-10K
12218,23,3,2990.58,5,3,4,12,Loyal Customers,Champions,0,0,0,£2K-5K
12220,8,17,45658.69,5,5,5,15,Champions,Champions,0,1,0,£10K+
12221,731,1,809.17,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12222,6,7,6771.09,5,5,5,15,Champions,Champions,0,1,0,£5K-10K
12223,316,6,2834.63,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12225,67,9,8596.71,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12227,430,1,742.97,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12229,17,2,590.61,5,2,2,9,New Customers,High Value,0,0,0,£500-2K
12232,436,1,173.91,1,1,1,3,Lost,Low Value,0,0,1,<£500
12233,59,5,5375.81,4,4,4,12,Champions,Champions,0,1,0,£5K-10K
12234,195,4,4526.0,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12236,127,4,1572.06,3,4,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12237,10,3,1264.59,5,3,3,11,Potential Loyal,High Value,0,0,0,£500-2K
12238,38,1,270.37,4,1,1,6,New Customers,Medium Value,0,0,0,<£500
12239,133,3,1160.58,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12241,384,2,127.09,2,2,1,5,Lost,Low Value,0,0,1,<£500
12242,451,1,123.97,1,1,1,3,Lost,Low Value,0,0,1,<£500
12244,48,13,26277.4,4,5,5,14,Champions,Champions,0,1,0,£10K+
12246,5,2,624.51,5,2,2,9,New Customers,High Value,0,0,0,£500-2K
12247,164,4,2028.48,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12250,1,2,916.65,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12251,98,3,1704.72,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12253,103,5,1585.48,3,4,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12254,23,3,1981.46,5,3,4,12,Loyal Customers,Champions,0,0,0,£500-2K
12255,174,1,89.03,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12257,65,2,303.78,4,2,2,8,New Customers,Medium Value,0,0,0,<£500
12260,23,3,1259.32,5,3,3,11,Potential Loyal,High Value,0,0,0,£500-2K
12261,149,4,2295.58,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12263,521,3,1201.96,1,3,3,7,At Risk,Medium Value,1,0,0,£500-2K
12264,107,1,248.38,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12271,279,8,8677.96,2,5,5,12,At Risk,Champions,1,0,0,£5K-10K
12272,111,2,1050.53,3,2,3,8,Potential Loyal,Medium Value,0,0,0,£500-2K
12273,468,1,86.85,1,1,1,3,Lost,Low Value,0,0,1,<£500
12274,108,3,1924.27,3,3,4,10,Loyal Customers,High Value,0,0,0,£500-2K
12276,493,2,555.27,1,2,2,5,Lost,Low Value,0,0,1,£500-2K
12278,1,9,10016.78,5,5,5,15,Champions,Champions,0,1,0,£10K+
12279,734,1,39.4,1,1,1,3,Lost,Low Value,0,0,1,<£500
12280,402,2,205.32,1,2,1,4,Lost,Low Value,0,0,1,<£500
12281,3,6,3465.02,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12282,89,3,2269.1,3,3,4,10,Loyal Customers,High Value,0,0,0,£2K-5K
12283,456,1,177.7,1,1,1,3,Lost,Low Value,0,0,1,<£500
12284,701,1,351.85,1,1,2,4,Lost,Low Value,0,0,1,<£500
12285,41,1,666.04,4,1,2,7,New Customers,Medium Value,0,0,0,£500-2K
12287,380,2,550.32,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12289,656,2,558.13,1,2,2,5,Lost,Low Value,0,0,1,£500-2K
12290,120,3,1292.58,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12292,341,1,19.81,2,1,1,4,Lost,Low Value,0,0,1,<£500
12293,24,1,65.44,5,1,1,7,New Customers,Medium Value,0,0,0,<£500
12294,27,2,920.12,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12295,148,3,1258.93,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12296,279,4,5793.7,2,4,4,10,At Risk,High Value,1,0,0,£5K-10K
12297,233,2,823.03,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12298,12,24,67735.84,5,5,5,15,Champions,Champions,0,1,0,£10K+
12299,9,18,45424.25,5,5,5,15,Champions,Champions,0,1,0,£10K+
12301,113,2,603.66,3,2,2,7,Needs Attention,Medium Value,0,0,0,£500-2K
12304,529,2,626.2,1,2,2,5,Lost,Low Value,0,0,1,£500-2K
12305,28,5,4277.13,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12306,596,1,9.05,1,1,1,3,Lost,Low Value,0,0,1,<£500
12307,377,1,216.16,2,1,1,4,Lost,Low Value,0,0,1,<£500
12308,560,1,395.61,1,1,2,4,Lost,Low Value,0,0,1,<£500
12311,584,1,10.72,1,1,1,3,Lost,Low Value,0,0,1,<£500
12312,323,2,1016.25,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12313,686,1,39.78,1,1,1,3,Lost,Low Value,0,0,1,<£500
12314,81,10,13172.91,4,5,5,14,Champions,Champions,0,1,0,£10K+
12316,154,8,9576.67,3,5,5,13,Loyal Customers,Champions,0,0,0,£5K-10K
12317,23,2,697.88,5,2,2,9,New Customers,High Value,0,0,0,£500-2K
12320,579,1,538.46,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12321,359,2,515.15,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12323,460,2,1549.78,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12325,39,7,5720.36,4,5,4,13,Champions,Champions,0,1,0,£5K-10K
12326,25,1,51.2,5,1,1,7,New Customers,Medium Value,0,0,0,<£500
12328,13,7,9044.29,5,5,5,15,Champions,Champions,0,1,0,£5K-10K
12329,51,1,902.23,4,1,3,8,New Customers,Medium Value,0,0,0,£500-2K
12330,46,6,5230.62,4,4,4,12,Champions,Champions,0,1,0,£5K-10K
12333,709,1,49.53,1,1,1,3,Lost,Low Value,0,0,1,<£500
12334,33,8,7133.89,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12335,163,4,2606.05,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12336,122,16,50275.58,3,5,5,13,Loyal Customers,Champions,0,0,0,£10K+
12337,293,3,1146.44,2,3,3,8,At Risk,Medium Value,1,0,0,£500-2K
12341,183,5,1976.97,3,4,4,11,Loyal Customers,High Value,0,0,0,£500-2K
12345,639,1,42.42,1,1,1,3,Lost,Low Value,0,0,1,<£500
12346,409,2,976.34,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12347,99,8,9707.65,3,5,5,13,Loyal Customers,Champions,0,0,0,£5K-10K
12348,232,2,1004.98,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12349,25,4,3603.0,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12350,306,2,1819.88,2,2,4,8,Needs Attention,Medium Value,0,0,0,£500-2K
12351,725,1,36.14,1,1,1,3,Lost,Low Value,0,0,1,<£500
12353,85,1,480.19,4,1,2,7,New Customers,Medium Value,0,0,0,<£500
12354,4,11,10462.42,5,5,5,15,Champions,Champions,0,1,0,£10K+
12355,221,2,1739.54,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12356,638,1,177.63,1,1,1,3,Lost,Low Value,0,0,1,<£500
12360,454,1,294.26,1,1,2,4,Lost,Low Value,0,0,1,<£500
12362,30,3,3113.99,4,3,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12364,704,1,46.35,1,1,1,3,Lost,Low Value,0,0,1,<£500
12366,15,2,782.14,5,2,2,9,New Customers,High Value,0,0,0,£500-2K
12367,125,1,107.25,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12368,18,3,2109.44,5,3,4,12,Loyal Customers,Champions,0,0,0,£2K-5K
12369,709,1,10.23,1,1,1,3,Lost,Low Value,0,0,1,<£500
12370,21,10,7847.97,5,5,5,15,Champions,Champions,0,1,0,£5K-10K
12372,32,6,6688.71,4,4,5,13,Champions,Champions,0,1,0,£5K-10K
12373,48,6,4625.43,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12374,52,4,2181.11,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12375,712,1,50.76,1,1,1,3,Lost,Low Value,0,0,1,<£500
12376,271,2,731.04,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12377,348,3,930.46,2,3,3,8,At Risk,Medium Value,1,0,0,£500-2K
12378,731,1,579.83,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12379,415,2,736.08,1,2,2,5,Lost,Low Value,0,0,1,£500-2K
12382,593,2,490.89,1,2,2,5,Lost,Low Value,0,0,1,<£500
12385,75,26,70072.84,4,5,5,14,Champions,Champions,0,1,0,£10K+
12387,218,2,727.73,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12389,12,16,40687.97,5,5,5,15,Champions,Champions,0,1,0,£10K+
12391,175,1,81.1,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12392,293,4,1987.11,2,4,4,10,At Risk,High Value,1,0,0,£500-2K
12393,71,10,10075.56,4,5,5,14,Champions,Champions,0,1,0,£10K+
12395,522,1,476.46,1,1,2,4,Lost,Low Value,0,0,1,<£500
12396,214,1,153.08,2,1,1,4,Lost,Low Value,0,0,1,<£500
12397,256,2,773.69,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12398,488,2,1011.06,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12399,33,3,1301.82,4,3,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12400,80,7,6964.25,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12401,128,6,5321.21,3,4,4,11,Loyal Customers,High Value,0,0,0,£5K-10K
12403,170,2,860.22,3,2,3,8,Potential Loyal,Medium Value,0,0,0,£500-2K
12404,71,8,8305.81,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12406,548,1,464.44,1,1,2,4,Lost,Low Value,0,0,1,<£500
12407,35,6,6531.21,4,4,5,13,Champions,Champions,0,1,0,£5K-10K
12409,37,5,5594.62,4,4,4,12,Champions,Champions,0,1,0,£5K-10K
12410,15,21,47856.23,5,5,5,15,Champions,Champions,0,1,0,£10K+
12411,40,12,15086.9,4,5,5,14,Champions,Champions,0,1,0,£10K+
12413,38,7,7396.67,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12414,41,16,49035.65,4,5,5,14,Champions,Champions,0,1,0,£10K+
12415,33,2,1788.18,4,2,3,9,New Customers,High Value,0,0,0,£500-2K
12417,263,3,1249.09,2,3,3,8,At Risk,Medium Value,1,0,0,£500-2K
12418,309,2,591.82,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12419,88,12,36828.82,3,5,5,13,Loyal Customers,Champions,0,0,0,£10K+
12420,30,3,1629.84,4,3,3,10,Potential Loyal,High Value,0,0,0,£500-2K
12421,367,1,78.81,2,1,1,4,Lost,Low Value,0,0,1,<£500
12422,65,2,417.56,4,2,2,8,New Customers,Medium Value,0,0,0,<£500
12423,7,2,932.81,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12424,60,4,2254.96,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12425,19,6,5624.91,5,4,4,13,Champions,Champions,0,1,0,£5K-10K
12426,3,3,742.4,5,3,2,10,Price Sensitive,High Value,0,0,0,£500-2K
12427,84,8,7130.47,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12428,174,1,318.4,3,1,2,6,Needs Attention,Medium Value,0,0,0,<£500
12433,6,1,124.6,5,1,1,7,New Customers,Medium Value,0,0,0,<£500
12434,421,2,413.4,1,2,2,5,Lost,Low Value,0,0,1,<£500
12435,240,1,130.9,2,1,1,4,Lost,Low Value,0,0,1,<£500
12436,593,2,1151.47,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12437,543,2,491.45,1,2,2,5,Lost,Low Value,0,0,1,<£500
12439,24,2,933.53,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12440,67,4,2357.29,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12442,2,8,7558.02,5,5,5,15,Champions,Champions,0,1,0,£5K-10K
12443,20,2,759.23,5,2,2,9,New Customers,High Value,0,0,0,£500-2K
12445,725,1,191.64,1,1,1,3,Lost,Low Value,0,0,1,<£500
12447,213,3,983.78,2,3,3,8,At Risk,Medium Value,1,0,0,£500-2K
12448,460,2,1619.67,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12451,390,2,332.68,2,2,2,6,Lost,Medium Value,0,0,1,<£500
12452,106,8,8833.45,3,5,5,13,Loyal Customers,Champions,0,0,0,£5K-10K
12453,53,15,35438.01,4,5,5,14,Champions,Champions,0,1,0,£10K+
12455,62,4,1460.7,4,4,3,11,Potential Loyal,High Value,0,0,0,£500-2K
12456,116,1,353.47,3,1,2,6,Needs Attention,Medium Value,0,0,0,<£500
12457,23,7,7978.48,5,5,5,15,Champions,Champions,0,1,0,£5K-10K
12460,182,1,515.0,3,1,2,6,Needs Attention,Medium Value,0,0,0,£500-2K
12461,75,10,10182.43,4,5,5,14,Champions,Champions,0,1,0,£10K+
12462,494,1,210.75,1,1,1,3,Lost,Low Value,0,0,1,<£500
12463,2,1,88.86,5,1,1,7,New Customers,Medium Value,0,0,0,<£500
12466,208,2,279.64,3,2,1,6,Needs Attention,Medium Value,0,0,0,<£500
12468,607,1,278.22,1,1,1,3,Lost,Low Value,0,0,1,<£500
12469,80,6,8122.6,4,4,5,13,Champions,Champions,0,1,0,£5K-10K
12470,110,1,815.29,3,1,2,6,Needs Attention,Medium Value,0,0,0,£500-2K
12471,267,2,988.98,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12473,625,1,146.34,1,1,1,3,Lost,Low Value,0,0,1,<£500
12474,466,1,717.92,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12475,371,2,1681.55,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12476,143,6,5566.35,3,4,4,11,Loyal Customers,High Value,0,0,0,£5K-10K
12477,174,1,291.6,3,1,2,6,Needs Attention,Medium Value,0,0,0,<£500
12479,6,4,1542.28,5,4,3,12,Potential Loyal,Champions,0,0,0,£500-2K
12481,2,11,31213.94,5,5,5,15,Champions,Champions,0,1,0,£10K+
12482,18,4,3412.78,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12483,14,3,1967.25,5,3,4,12,Loyal Customers,Champions,0,0,0,£500-2K
12484,17,6,5465.57,5,4,4,13,Champions,Champions,0,1,0,£5K-10K
12486,448,1,200.89,1,1,1,3,Lost,Low Value,0,0,1,<£500
12487,73,6,6241.07,4,4,5,13,Champions,Champions,0,1,0,£5K-10K
12488,208,6,3005.89,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12490,88,4,2107.56,3,4,4,11,Loyal Customers,High Value,0,0,0,£2K-5K
12491,11,2,251.51,5,2,1,8,New Customers,Medium Value,0,0,0,<£500
12492,6,14,37441.27,5,5,5,15,Champions,Champions,0,1,0,£10K+
12493,15,10,34695.08,5,5,5,15,Champions,Champions,0,1,0,£10K+
12494,65,4,2220.49,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12497,84,7,7720.5,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12500,257,2,1312.72,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
