CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12335,163,4,2606.05,3,4,4,344,11,Loyal Customers
12336,122,16,50275.58,3,5,5,355,13,Loyal Customers
12337,293,3,1146.44,2,3,3,233,8,At Risk
12341,183,5,1976.97,3,4,4,344,11,Loyal Customers
12345,639,1,42.42,1,1,1,111,3,Lost
12346,409,2,976.34,1,2,3,123,6,Needs Attention
12347,99,8,9707.65,3,5,5,355,13,Loyal Customers
12348,232,2,1004.98,2,2,3,223,7,Needs Attention
12349,25,4,3603.0,5,4,4,544,13,Champions
12350,306,2,1819.88,2,2,4,224,8,Needs Attention
12351,725,1,36.14,1,1,1,111,3,Lost
12353,85,1,480.19,4,1,2,412,7,New Customers
12354,4,11,10462.42,5,5,5,555,15,Champions
12355,221,2,1739.54,2,2,3,223,7,Needs Attention
12356,638,1,177.63,1,1,1,111,3,Lost
12360,454,1,294.26,1,1,2,112,4,Lost
12362,30,3,3113.99,4,3,4,434,11,Loyal Customers
12364,704,1,46.35,1,1,1,111,3,Lost
12366,15,2,782.14,5,2,2,522,9,New Customers
12367,125,1,107.25,3,1,1,311,5,Needs Attention
12368,18,3,2109.44,5,3,4,534,12,Loyal Customers
12369,709,1,10.23,1,1,1,111,3,Lost
12370,21,10,7847.97,5,5,5,555,15,Champions
12372,32,6,6688.71,4,4,5,445,13,Champions
12373,48,6,4625.43,4,4,4,444,12,Champions
12374,52,4,2181.11,4,4,4,444,12,Champions
12375,712,1,50.76,1,1,1,111,3,Lost
12376,271,2,731.04,2,2,2,222,6,Lost
12377,348,3,930.46,2,3,3,233,8,At Risk
12378,731,1,579.83,1,1,2,112,4,Lost
12379,415,2,736.08,1,2,2,122,5,Lost
12382,593,2,490.89,1,2,2,122,5,Lost
12385,75,26,70072.84,4,5,5,455,14,Champions
12387,218,2,727.73,2,2,2,222,6,Lost
12389,12,16,40687.97,5,5,5,555,15,Champions
12391,175,1,81.1,3,1,1,311,5,Needs Attention
12392,293,4,1987.11,2,4,4,244,10,At Risk
12393,71,10,10075.56,4,5,5,455,14,Champions
12395,522,1,476.46,1,1,2,112,4,Lost
12396,214,1,153.08,2,1,1,211,4,Lost
12397,256,2,773.69,2,2,2,222,6,Lost
12398,488,2,1011.06,1,2,3,123,6,Needs Attention
12399,33,3,1301.82,4,3,3,433,10,Potential Loyal
12400,80,7,6964.25,4,5,5,455,14,Champions
12401,128,6,5321.21,3,4,4,344,11,Loyal Customers
12403,170,2,860.22,3,2,3,323,8,Potential Loyal
12404,71,8,8305.81,4,5,5,455,14,Champions
12406,548,1,464.44,1,1,2,112,4,Lost
12407,35,6,6531.21,4,4,5,445,13,Champions
12409,37,5,5594.62,4,4,4,444,12,Champions
12410,15,21,47856.23,5,5,5,555,15,Champions
12411,40,12,15086.9,4,5,5,455,14,Champions
12413,38,7,7396.67,4,5,5,455,14,Champions
12414,41,16,49035.65,4,5,5,455,14,Champions
12415,33,2,1788.18,4,2,3,423,9,New Customers
12417,263,3,1249.09,2,3,3,233,8,At Risk
12418,309,2,591.82,2,2,2,222,6,Lost
12419,88,12,36828.82,3,5,5,355,13,Loyal Customers
12420,30,3,1629.84,4,3,3,433,10,Potential Loyal
12421,367,1,78.81,2,1,1,211,4,Lost
12422,65,2,417.56,4,2,2,422,8,New Customers
12423,7,2,932.81,5,2,3,523,10,New Customers
12424,60,4,2254.96,4,4,4,444,12,Champions
12425,19,6,5624.91,5,4,4,544,13,Champions
12426,3,3,742.4,5,3,2,532,10,Price Sensitive
12427,84,8,7130.47,4,5,5,455,14,Champions
12428,174,1,318.4,3,1,2,312,6,Needs Attention
12433,6,1,124.6,5,1,1,511,7,New Customers
12434,421,2,413.4,1,2,2,122,5,Lost
12435,240,1,130.9,2,1,1,211,4,Lost
12436,593,2,1151.47,1,2,3,123,6,Needs Attention
12437,543,2,491.45,1,2,2,122,5,Lost
12439,24,2,933.53,5,2,3,523,10,New Customers
12440,67,4,2357.29,4,4,4,444,12,Champions
12442,2,8,7558.02,5,5,5,555,15,Champions
12443,20,2,759.23,5,2,2,522,9,New Customers
12445,725,1,191.64,1,1,1,111,3,Lost
12447,213,3,983.78,2,3,3,233,8,At Risk
12448,460,2,1619.67,1,2,3,123,6,Needs Attention
12451,390,2,332.68,2,2,2,222,6,Lost
12452,106,8,8833.45,3,5,5,355,13,Loyal Customers
12453,53,15,35438.01,4,5,5,455,14,Champions
12455,62,4,1460.7,4,4,3,443,11,Potential Loyal
12456,116,1,353.47,3,1,2,312,6,Needs Attention
12457,23,7,7978.48,5,5,5,555,15,Champions
12460,182,1,515.0,3,1,2,312,6,Needs Attention
12461,75,10,10182.43,4,5,5,455,14,Champions
12462,494,1,210.75,1,1,1,111,3,Lost
12463,2,1,88.86,5,1,1,511,7,New Customers
12466,208,2,279.64,3,2,1,321,6,Needs Attention
12468,607,1,278.22,1,1,1,111,3,Lost
12469,80,6,8122.6,4,4,5,445,13,Champions
12470,110,1,815.29,3,1,2,312,6,Needs Attention
12471,267,2,988.98,2,2,3,223,7,Needs Attention
12473,625,1,146.34,1,1,1,111,3,Lost
12474,466,1,717.92,1,1,2,112,4,Lost
12475,371,2,1681.55,2,2,3,223,7,Needs Attention
12476,143,6,5566.35,3,4,4,344,11,Loyal Customers
12477,174,1,291.6,3,1,2,312,6,Needs Attention
12479,6,4,1542.28,5,4,3,543,12,Potential Loyal
12481,2,11,31213.94,5,5,5,555,15,Champions
12482,18,4,3412.78,5,4,4,544,13,Champions
12483,14,3,1967.25,5,3,4,534,12,Loyal Customers
12484,17,6,5465.57,5,4,4,544,13,Champions
12486,448,1,200.89,1,1,1,111,3,Lost
12487,73,6,6241.07,4,4,5,445,13,Champions
12488,208,6,3005.89,3,4,4,344,11,Loyal Customers
12490,88,4,2107.56,3,4,4,344,11,Loyal Customers
12491,11,2,251.51,5,2,1,521,8,New Customers
12492,6,14,37441.27,5,5,5,555,15,Champions
12493,15,10,34695.08,5,5,5,555,15,Champions
12494,65,4,2220.49,4,4,4,444,12,Champions
12497,84,7,7720.5,4,5,5,455,14,Champions
12500,257,2,1312.72,2,2,3,223,7,Needs Attention
12502,415,4,3949.49,1,4,4,144,9,At Risk
12506,736,1,485.12,1,1,2,112,4,Lost
12507,142,5,1632.67,3,4,3,343,10,Potential Loyal
12509,647,1,523.41,1,1,2,112,4,Lost
12510,78,1,626.44,4,1,2,412,7,New Customers
12512,391,1,10.6,2,1,1,211,4,Lost
12514,86,4,1099.94,4,4,3,443,11,Potential Loyal
12515,39,2,430.45,4,2,2,422,8,New Customers
12516,326,1,403.4,2,1,2,212,5,Lost
12517,83,5,5130.76,4,4,4,444,12,Champions
12518,13,3,1024.86,5,3,3,533,11,Potential Loyal
12519,193,2,936.34,3,2,3,323,8,Potential Loyal
12520,201,3,1844.05,3,3,4,334,10,Loyal Customers
12523,546,1,331.02,1,1,2,112,4,Lost
12525,36,4,1875.41,4,4,4,444,12,Champions
12527,80,1,708.92,4,1,2,412,7,New Customers
12529,3,7,6870.94,5,5,5,555,15,Champions
12531,365,2,499.98,2,2,2,222,6,Lost
12532,272,1,234.36,2,1,1,211,4,Lost
12535,666,1,34.95,1,1,1,111,3,Lost
12536,664,1,388.11,1,1,2,112,4,Lost
12538,686,1,1091.71,1,1,3,113,5,Needs Attention
12539,126,5,5280.16,3,4,4,344,11,Loyal Customers
12540,62,1,512.88,4,1,2,412,7,New Customers
12541,206,1,175.4,3,1,1,311,5,Needs Attention
12542,134,3,3537.67,3,3,4,334,10,Loyal Customers
12543,318,1,707.8,2,1,2,212,5,Lost
12544,483,3,857.38,1,3,3,133,7,At Risk
12545,80,13,17657.83,4,5,5,455,14,Champions
12548,68,9,9544.3,4,5,5,455,14,Champions
12551,123,1,740.88,3,1,2,312,6,Needs Attention
12553,95,3,1122.58,3,3,3,333,9,Potential Loyal
12554,109,1,336.26,3,1,2,312,6,Needs Attention
12555,26,19,49831.85,5,5,5,555,15,Champions
12556,5,2,350.28,5,2,2,522,9,New Customers
12558,1,22,55040.23,5,5,5,555,15,Champions
12559,665,2,780.67,1,2,2,122,5,Lost
12561,382,2,1187.97,2,2,3,223,7,Needs Attention
12564,518,2,294.14,1,2,2,122,5,Lost
12565,234,2,460.39,2,2,2,222,6,Lost
12566,597,1,211.99,1,1,1,111,3,Lost
12568,73,1,506.42,4,1,2,412,7,New Customers
12569,185,4,1581.03,3,4,3,343,10,Potential Loyal
12570,718,1,254.33,1,1,1,111,3,Lost
12572,384,1,319.11,2,1,2,212,5,Lost
12573,148,3,5435.0,3,3,4,334,10,Loyal Customers
12575,594,1,845.14,1,1,3,113,5,Needs Attention
12576,101,4,6272.4,3,4,5,345,12,Loyal Customers
12578,46,3,1378.39,4,3,3,433,10,Potential Loyal
12580,212,3,1502.64,2,3,3,233,8,At Risk
12582,155,1,65.0,3,1,1,311,5,Needs Attention
12583,640,1,880.5,1,1,3,113,5,Needs Attention
12585,42,1,433.88,4,1,2,412,7,New Customers
12586,363,3,1934.67,2,3,4,234,9,At Risk
12587,47,2,686.0,4,2,2,422,8,New Customers
12589,157,4,1488.26,3,4,3,343,10,Potential Loyal
12590,52,9,8407.3,4,5,5,455,14,Champions
12591,155,5,6576.99,3,4,5,345,12,Loyal Customers
12592,392,2,1290.44,2,2,3,223,7,Needs Attention
12593,683,1,248.85,1,1,1,111,3,Lost
12594,114,3,1141.8,3,3,3,333,9,Potential Loyal
12595,526,2,353.17,1,2,2,122,5,Lost
12596,40,7,6799.85,4,5,5,455,14,Champions
12597,41,2,880.29,4,2,3,423,9,New Customers
12599,285,3,1624.98,2,3,3,233,8,At Risk
12602,79,6,6491.29,4,4,5,445,13,Champions
12604,38,2,1109.62,4,2,3,423,9,New Customers
12607,145,4,4744.82,3,4,4,344,11,Loyal Customers
12608,36,3,2612.53,4,3,4,434,11,Loyal Customers
12610,105,4,1665.09,3,4,3,343,10,Potential Loyal
12611,96,6,5561.3,3,4,4,344,11,Loyal Customers
12612,12,12,35642.63,5,5,5,555,15,Champions
12613,22,19,47326.31,5,5,5,555,15,Champions
12614,234,1,148.94,2,1,1,211,4,Lost
12615,25,9,7924.29,5,5,5,555,15,Champions
12616,427,1,218.26,1,1,1,111,3,Lost
12617,523,1,339.64,1,1,2,112,4,Lost
12618,16,1,782.99,5,1,2,512,8,New Customers
12619,5,14,34381.14,5,5,5,555,15,Champions
12620,439,1,163.98,1,1,1,111,3,Lost
12621,75,11,28958.83,4,5,5,455,14,Champions
12624,207,3,538.43,3,3,2,332,8,Price Sensitive
12625,101,2,577.1,3,2,2,322,7,Needs Attention
12626,109,2,1041.61,3,2,3,323,8,Potential Loyal
12627,407,2,847.44,1,2,3,123,6,Needs Attention
12630,15,3,1935.32,5,3,4,534,12,Loyal Customers
12635,395,3,1417.84,2,3,3,233,8,At Risk
12636,203,1,410.75,3,1,2,312,6,Needs Attention
12638,350,7,5922.15,2,5,5,255,12,At Risk
12640,319,1,463.94,2,1,2,212,5,Lost
12641,94,2,1288.43,3,2,3,323,8,Potential Loyal
12642,292,3,1629.44,2,3,3,233,8,At Risk
12644,111,9,11386.59,3,5,5,355,13,Loyal Customers
12645,244,1,99.28,2,1,1,211,4,Lost
12646,491,4,4417.86,1,4,4,144,9,At Risk
12647,13,6,6798.3,5,4,5,545,14,Champions
12649,622,1,89.64,1,1,1,111,3,Lost
12650,368,3,1269.05,2,3,3,233,8,At Risk
12651,45,2,1192.22,4,2,3,423,9,New Customers
12652,635,3,2279.82,1,3,4,134,8,At Risk
12656,148,3,1005.43,3,3,3,333,9,Potential Loyal
12657,251,1,265.22,2,1,1,211,4,Lost
12659,77,23,58392.82,4,5,5,455,14,Champions
12662,168,9,13174.13,3,5,5,355,13,Loyal Customers
12663,62,2,818.83,4,2,3,423,9,New Customers
12665,367,1,254.37,2,1,1,211,4,Lost
12666,11,26,66375.42,5,5,5,555,15,Champions
12667,354,2,1064.31,2,2,3,223,7,Needs Attention
12668,164,3,1606.12,3,3,3,333,9,Potential Loyal
12669,404,1,553.77,1,1,2,112,4,Lost
12670,444,1,90.36,1,1,1,111,3,Lost
12672,435,1,766.18,1,1,2,112,4,Lost
12674,300,1,274.32,2,1,1,211,4,Lost
12675,488,2,1591.09,1,2,3,123,6,Needs Attention
12676,33,8,6623.74,4,5,5,455,14,Champions
12679,229,2,1147.74,2,2,3,223,7,Needs Attention
12681,303,3,1729.1,2,3,3,233,8,At Risk
12682,290,2,213.87,2,2,1,221,5,Lost
12684,678,1,65.45,1,1,1,111,3,Lost
12686,215,1,102.6,2,1,1,211,4,Lost
12687,38,3,1448.56,4,3,3,433,10,Potential Loyal
12689,45,7,6248.66,4,5,5,455,14,Champions
12690,44,3,1122.83,4,3,3,433,10,Potential Loyal
12691,410,1,90.55,1,1,1,111,3,Lost
12692,435,3,2511.48,1,3,4,134,8,At Risk
12693,633,1,23.35,1,1,1,111,3,Lost
12694,596,1,312.41,1,1,2,112,4,Lost
12695,722,1,167.76,1,1,1,111,3,Lost
12696,653,1,118.98,1,1,1,111,3,Lost
12697,158,4,1364.35,3,4,3,343,10,Potential Loyal
12699,28,4,2342.74,5,4,4,544,13,Champions
12700,37,3,1066.09,4,3,3,433,10,Potential Loyal
12701,278,1,503.26,2,1,2,212,5,Lost
12702,5,2,878.08,5,2,3,523,10,New Customers
12703,18,21,54595.98,5,5,5,555,15,Champions
12704,250,1,127.38,2,1,1,211,4,Lost
12705,674,1,533.14,1,1,2,112,4,Lost
12706,239,3,1215.98,2,3,3,233,8,At Risk
12708,475,1,72.8,1,1,1,111,3,Lost
12710,348,4,3520.19,2,4,4,244,10,At Risk
12711,84,2,89.82,4,2,1,421,7,New Customers
12713,241,1,28.05,2,1,1,211,4,Lost
12715,363,3,1348.65,2,3,3,233,8,At Risk
12716,60,10,8417.51,4,5,5,455,14,Champions
12717,224,2,1095.55,2,2,3,223,7,Needs Attention
12718,110,2,910.09,3,2,3,323,8,Potential Loyal
12720,237,2,1553.96,2,2,3,223,7,Needs Attention
12723,187,3,1825.72,3,3,4,334,10,Loyal Customers
12724,77,2,1328.7,4,2,3,423,9,New Customers
12727,289,3,1725.51,2,3,3,233,8,At Risk
12728,492,1,203.01,1,1,1,111,3,Lost
12729,352,1,97.72,2,1,1,211,4,Lost
12730,724,1,354.15,1,1,2,112,4,Lost
12731,10,1,762.49,5,1,2,512,8,New Customers
12732,226,1,213.73,2,1,1,211,4,Lost
12733,82,5,6605.46,4,4,5,445,13,Champions
12734,40,18,45898.11,4,5,5,455,14,Champions
12735,75,3,1730.87,4,3,3,433,10,Potential Loyal
12736,98,2,400.64,3,2,2,322,7,Needs Attention
12738,20,4,2239.92,5,4,4,544,13,Champions
12739,30,4,1340.14,4,4,3,443,11,Potential Loyal
12740,34,8,8816.45,4,5,5,455,14,Champions
12741,19,4,1876.2,5,4,4,544,13,Champions
12743,159,4,3368.72,3,4,4,344,11,Loyal Customers
12744,43,2,1198.6,4,2,3,423,9,New Customers
12745,428,1,120.2,1,1,1,111,3,Lost
12747,442,1,1158.09,1,1,3,113,5,Needs Attention
12748,413,1,214.98,1,1,1,111,3,Lost
12750,724,1,308.7,1,1,2,112,4,Lost
12751,21,9,10132.75,5,5,5,555,15,Champions
12752,616,1,158.52,1,1,1,111,3,Lost
12753,337,4,5576.05,2,4,4,244,10,At Risk
12755,490,1,188.48,1,1,1,111,3,Lost
12756,335,1,270.28,2,1,1,211,4,Lost
12758,1,16,35313.35,5,5,5,555,15,Champions
12760,34,4,2156.19,4,4,4,444,12,Champions
12761,439,3,1305.36,1,3,3,133,7,At Risk
12762,27,11,11660.86,5,5,5,555,15,Champions
12764,15,4,3674.32,5,4,4,544,13,Champions
12765,8,3,3497.06,5,3,4,534,12,Loyal Customers
12766,349,3,833.6,2,3,3,233,8,At Risk
